"NSFTV.ID","PSA","Exp","Rep","DayOfImaging"
"NSFTV_1",11181,"E1",1,7
"NSFTV_10",10816,"E1",1,7
"NSFTV_101",8382,"E1",1,7
"NSFTV_102",8489,"E1",1,7
"NSFTV_103",4584,"E1",1,7
"NSFTV_104",7173,"E1",1,7
"NSFTV_105",9448,"E1",1,7
"NSFTV_106",12627,"E1",1,7
"NSFTV_107",10549,"E1",1,7
"NSFTV_108",6023,"E1",1,7
"NSFTV_109",10866,"E1",1,7
"NSFTV_11",13962,"E1",1,7
"NSFTV_112",6325,"E1",1,7
"NSFTV_113",12169,"E1",1,7
"NSFTV_114",9702,"E1",1,7
"NSFTV_115",7740,"E1",1,7
"NSFTV_116",6947,"E1",1,7
"NSFTV_117",11360,"E1",1,7
"NSFTV_118",13304,"E1",1,7
"NSFTV_120",9120,"E1",1,7
"NSFTV_121",6557,"E1",1,7
"NSFTV_122",9726,"E1",1,7
"NSFTV_123",10701,"E1",1,7
"NSFTV_124",7900,"E1",1,7
"NSFTV_125",14033,"E1",1,7
"NSFTV_128",7023,"E1",1,7
"NSFTV_129",9639,"E1",1,7
"NSFTV_13",12308,"E1",1,7
"NSFTV_130",11056,"E1",1,7
"NSFTV_131",10219,"E1",1,7
"NSFTV_132",10380,"E1",1,7
"NSFTV_133",6445,"E1",1,7
"NSFTV_134",10426,"E1",1,7
"NSFTV_135",7595,"E1",1,7
"NSFTV_139",4903,"E1",1,7
"NSFTV_14",7131,"E1",1,7
"NSFTV_140",9154,"E1",1,7
"NSFTV_141",10222,"E1",1,7
"NSFTV_142",11900,"E1",1,7
"NSFTV_143",8824,"E1",1,7
"NSFTV_144",6871,"E1",1,7
"NSFTV_145",10551,"E1",1,7
"NSFTV_146",10353,"E1",1,7
"NSFTV_147",4816,"E1",1,7
"NSFTV_148",15563,"E1",1,7
"NSFTV_149",6050,"E1",1,7
"NSFTV_15",6246,"E1",1,7
"NSFTV_150",6561,"E1",1,7
"NSFTV_151",6237,"E1",1,7
"NSFTV_152",8131,"E1",1,7
"NSFTV_153",8315,"E1",1,7
"NSFTV_154",13495,"E1",1,7
"NSFTV_155",8520,"E1",1,7
"NSFTV_156",11475,"E1",1,7
"NSFTV_157",6268,"E1",1,7
"NSFTV_158",6332,"E1",1,7
"NSFTV_159",8849,"E1",1,7
"NSFTV_16",9467,"E1",1,7
"NSFTV_160",6655,"E1",1,7
"NSFTV_161",8640,"E1",1,7
"NSFTV_162",6011,"E1",1,7
"NSFTV_163",10094,"E1",1,7
"NSFTV_164",8666,"E1",1,7
"NSFTV_165",10265,"E1",1,7
"NSFTV_166",12133,"E1",1,7
"NSFTV_167",4413,"E1",1,7
"NSFTV_168",9219,"E1",1,7
"NSFTV_169",9335,"E1",1,7
"NSFTV_17",7556,"E1",1,7
"NSFTV_171",14075,"E1",1,7
"NSFTV_172",13060,"E1",1,7
"NSFTV_173",6313,"E1",1,7
"NSFTV_174",10656,"E1",1,7
"NSFTV_176",10311,"E1",1,7
"NSFTV_177",6898,"E1",1,7
"NSFTV_179",9993,"E1",1,7
"NSFTV_18",11671,"E1",1,7
"NSFTV_180",8220,"E1",1,7
"NSFTV_182",8394,"E1",1,7
"NSFTV_183",10560,"E1",1,7
"NSFTV_184",10661,"E1",1,7
"NSFTV_185",8774,"E1",1,7
"NSFTV_186",6201,"E1",1,7
"NSFTV_187",6761,"E1",1,7
"NSFTV_188",8626,"E1",1,7
"NSFTV_189",9742,"E1",1,7
"NSFTV_19",11897,"E1",1,7
"NSFTV_190",7819,"E1",1,7
"NSFTV_191",10539,"E1",1,7
"NSFTV_192",7322,"E1",1,7
"NSFTV_193",6833,"E1",1,7
"NSFTV_195",10243,"E1",1,7
"NSFTV_198",5970,"E1",1,7
"NSFTV_199",9422,"E1",1,7
"NSFTV_200",16571,"E1",1,7
"NSFTV_202",11188,"E1",1,7
"NSFTV_203",7652,"E1",1,7
"NSFTV_205",9261,"E1",1,7
"NSFTV_206",10919,"E1",1,7
"NSFTV_207",11756,"E1",1,7
"NSFTV_208",8382,"E1",1,7
"NSFTV_209",10600,"E1",1,7
"NSFTV_21",10761,"E1",1,7
"NSFTV_211",11795,"E1",1,7
"NSFTV_213",9615,"E1",1,7
"NSFTV_214",8040,"E1",1,7
"NSFTV_215",10945,"E1",1,7
"NSFTV_216",7459,"E1",1,7
"NSFTV_217",6489,"E1",1,7
"NSFTV_218",4407,"E1",1,7
"NSFTV_219",8763,"E1",1,7
"NSFTV_220",13211,"E1",1,7
"NSFTV_221",11078,"E1",1,7
"NSFTV_222",13324,"E1",1,7
"NSFTV_223",7271,"E1",1,7
"NSFTV_224",12456,"E1",1,7
"NSFTV_225",9856,"E1",1,7
"NSFTV_226",13732,"E1",1,7
"NSFTV_227",11540,"E1",1,7
"NSFTV_228",10758,"E1",1,7
"NSFTV_229",9648,"E1",1,7
"NSFTV_23",10328,"E1",1,7
