"NSFTV.ID","PSA","Exp","Rep","DayOfImaging"
"NSFTV_101",NA,"E3",2,3
"NSFTV_101",NA,"E3",2,5
"NSFTV_101",NA,"E3",2,6
"NSFTV_101",NA,"E3",2,7
"NSFTV_101",NA,"E3",2,8
"NSFTV_101",NA,"E3",2,9
"NSFTV_102",27408,"E1",1,0
"NSFTV_102",38385,"E1",1,2
"NSFTV_102",46673,"E1",1,3
"NSFTV_102",65313,"E1",1,5
"NSFTV_102",82830,"E1",1,6
"NSFTV_102",101636,"E1",1,7
"NSFTV_102",129644,"E1",1,8
"NSFTV_102",153733,"E1",1,9
"NSFTV_102",NA,"E1",2,0
"NSFTV_102",NA,"E1",2,2
"NSFTV_102",NA,"E1",2,3
"NSFTV_102",NA,"E1",2,5
"NSFTV_102",NA,"E1",2,6
"NSFTV_102",NA,"E1",2,7
"NSFTV_102",NA,"E1",2,8
"NSFTV_102",NA,"E1",2,9
"NSFTV_102",41599,"E2",1,0
"NSFTV_102",53049,"E2",1,2
"NSFTV_102",61706,"E2",1,3
"NSFTV_102",85830,"E2",1,5
"NSFTV_102",102215,"E2",1,6
"NSFTV_102",121038,"E2",1,7
"NSFTV_102",136839,"E2",1,8
"NSFTV_102",162948,"E2",1,9
"NSFTV_102",NA,"E2",2,0
"NSFTV_102",NA,"E2",2,2
"NSFTV_102",NA,"E2",2,3
"NSFTV_102",NA,"E2",2,5
"NSFTV_102",NA,"E2",2,6
"NSFTV_102",NA,"E2",2,7
"NSFTV_102",NA,"E2",2,8
"NSFTV_102",NA,"E2",2,9
"NSFTV_102",39748,"E3",1,0
"NSFTV_102",57355,"E3",1,2
"NSFTV_102",69421,"E3",1,3
"NSFTV_102",93162,"E3",1,5
"NSFTV_102",105029,"E3",1,6
"NSFTV_102",122488,"E3",1,7
"NSFTV_102",142272,"E3",1,8
"NSFTV_102",160369,"E3",1,9
"NSFTV_102",NA,"E3",2,0
"NSFTV_102",NA,"E3",2,2
"NSFTV_102",NA,"E3",2,3
"NSFTV_102",NA,"E3",2,5
"NSFTV_102",NA,"E3",2,6
"NSFTV_102",NA,"E3",2,7
"NSFTV_102",NA,"E3",2,8
"NSFTV_102",NA,"E3",2,9
"NSFTV_103",18080,"E1",1,0
"NSFTV_103",25690,"E1",1,2
"NSFTV_103",29780,"E1",1,3
"NSFTV_103",39541,"E1",1,5
"NSFTV_103",46420,"E1",1,6
"NSFTV_103",56883,"E1",1,7
"NSFTV_103",64587,"E1",1,8
"NSFTV_103",77915,"E1",1,9
"NSFTV_103",NA,"E1",2,0
"NSFTV_103",NA,"E1",2,2
"NSFTV_103",NA,"E1",2,3
"NSFTV_103",NA,"E1",2,5
"NSFTV_103",NA,"E1",2,6
"NSFTV_103",NA,"E1",2,7
"NSFTV_103",NA,"E1",2,8
"NSFTV_103",NA,"E1",2,9
"NSFTV_103",25438,"E2",1,0
"NSFTV_103",33543,"E2",1,2
"NSFTV_103",39028,"E2",1,3
"NSFTV_103",56859,"E2",1,5
"NSFTV_103",61528,"E2",1,6
"NSFTV_103",71777,"E2",1,7
"NSFTV_103",79271,"E2",1,8
"NSFTV_103",91959,"E2",1,9
"NSFTV_103",NA,"E2",2,0
"NSFTV_103",NA,"E2",2,2
"NSFTV_103",NA,"E2",2,3
"NSFTV_103",NA,"E2",2,5
"NSFTV_103",NA,"E2",2,6
"NSFTV_103",NA,"E2",2,7
"NSFTV_103",NA,"E2",2,8
"NSFTV_103",NA,"E2",2,9
"NSFTV_103",13214,"E3",1,0
"NSFTV_103",18085,"E3",1,2
"NSFTV_103",19700,"E3",1,3
"NSFTV_103",26968,"E3",1,5
"NSFTV_103",28505,"E3",1,6
"NSFTV_103",31540,"E3",1,7
"NSFTV_103",35675,"E3",1,8
"NSFTV_103",41407,"E3",1,9
"NSFTV_103",NA,"E3",2,0
"NSFTV_103",NA,"E3",2,2
"NSFTV_103",NA,"E3",2,3
"NSFTV_103",NA,"E3",2,5
"NSFTV_103",NA,"E3",2,6
"NSFTV_103",NA,"E3",2,7
"NSFTV_103",NA,"E3",2,8
"NSFTV_103",NA,"E3",2,9
"NSFTV_104",14369,"E1",1,0
"NSFTV_104",20825,"E1",1,2
"NSFTV_104",26407,"E1",1,3
"NSFTV_104",39726,"E1",1,5
"NSFTV_104",43906,"E1",1,6
"NSFTV_104",45284,"E1",1,7
"NSFTV_104",56732,"E1",1,8
"NSFTV_104",69731,"E1",1,9
"NSFTV_104",NA,"E1",2,0
"NSFTV_104",NA,"E1",2,2
"NSFTV_104",NA,"E1",2,3
"NSFTV_104",NA,"E1",2,5
"NSFTV_104",NA,"E1",2,6
"NSFTV_104",NA,"E1",2,7
"NSFTV_104",NA,"E1",2,8
"NSFTV_104",NA,"E1",2,9
"NSFTV_104",28984,"E2",1,0
"NSFTV_104",36988,"E2",1,2
"NSFTV_104",43339,"E2",1,3
"NSFTV_104",63437,"E2",1,5
"NSFTV_104",70603,"E2",1,6
"NSFTV_104",74575,"E2",1,7
"NSFTV_104",87697,"E2",1,8
"NSFTV_104",99629,"E2",1,9
"NSFTV_104",NA,"E2",2,0
"NSFTV_104",NA,"E2",2,2
"NSFTV_104",NA,"E2",2,3
"NSFTV_104",NA,"E2",2,5
"NSFTV_104",NA,"E2",2,6
"NSFTV_104",NA,"E2",2,7
"NSFTV_104",NA,"E2",2,8
"NSFTV_104",NA,"E2",2,9
"NSFTV_104",17648,"E3",1,0
"NSFTV_104",26050,"E3",1,2
"NSFTV_104",28235,"E3",1,3
"NSFTV_104",35096,"E3",1,5
"NSFTV_104",38370,"E3",1,6
"NSFTV_104",43575,"E3",1,7
"NSFTV_104",51531,"E3",1,8
"NSFTV_104",60051,"E3",1,9
"NSFTV_104",12730,"E3",2,0
"NSFTV_104",15492,"E3",2,2
"NSFTV_104",20240,"E3",2,3
"NSFTV_104",29860,"E3",2,5
"NSFTV_104",31156,"E3",2,6
"NSFTV_104",31623,"E3",2,7
"NSFTV_104",34432,"E3",2,8
"NSFTV_104",39703,"E3",2,9
"NSFTV_105",25120,"E1",1,0
"NSFTV_105",35408,"E1",1,2
"NSFTV_105",41526,"E1",1,3
"NSFTV_105",57314,"E1",1,5
"NSFTV_105",67046,"E1",1,6
"NSFTV_105",84055,"E1",1,7
"NSFTV_105",107446,"E1",1,8
"NSFTV_105",124429,"E1",1,9
"NSFTV_105",NA,"E1",2,0
"NSFTV_105",NA,"E1",2,2
"NSFTV_105",NA,"E1",2,3
"NSFTV_105",NA,"E1",2,5
"NSFTV_105",NA,"E1",2,6
"NSFTV_105",NA,"E1",2,7
"NSFTV_105",NA,"E1",2,8
"NSFTV_105",NA,"E1",2,9
"NSFTV_105",37360,"E2",1,0
"NSFTV_105",53793,"E2",1,2
"NSFTV_105",67380,"E2",1,3
"NSFTV_105",97415,"E2",1,5
"NSFTV_105",112144,"E2",1,6
"NSFTV_105",130485,"E2",1,7
"NSFTV_105",146871,"E2",1,8
"NSFTV_105",168784,"E2",1,9
"NSFTV_105",NA,"E2",2,0
"NSFTV_105",NA,"E2",2,2
"NSFTV_105",NA,"E2",2,3
"NSFTV_105",NA,"E2",2,5
"NSFTV_105",NA,"E2",2,6
"NSFTV_105",NA,"E2",2,7
"NSFTV_105",NA,"E2",2,8
"NSFTV_105",NA,"E2",2,9
"NSFTV_105",24465,"E3",1,0
"NSFTV_105",34507,"E3",1,2
"NSFTV_105",40234,"E3",1,3
"NSFTV_105",57877,"E3",1,5
"NSFTV_105",61881,"E3",1,6
"NSFTV_105",71585,"E3",1,7
"NSFTV_105",80097,"E3",1,8
"NSFTV_105",89588,"E3",1,9
"NSFTV_105",54893,"E3",2,0
"NSFTV_105",83757,"E3",2,2
"NSFTV_105",99825,"E3",2,3
"NSFTV_105",123503,"E3",2,5
"NSFTV_105",143229,"E3",2,6
"NSFTV_105",163056,"E3",2,7
"NSFTV_105",179009,"E3",2,8
"NSFTV_105",196673,"E3",2,9
"NSFTV_106",58409,"E1",1,0
"NSFTV_106",83609,"E1",1,2
"NSFTV_106",103159,"E1",1,3
"NSFTV_106",148349,"E1",1,5
"NSFTV_106",180413,"E1",1,6
"NSFTV_106",216868,"E1",1,7
"NSFTV_106",258804,"E1",1,8
"NSFTV_106",299350,"E1",1,9
"NSFTV_106",NA,"E1",2,0
"NSFTV_106",NA,"E1",2,2
"NSFTV_106",NA,"E1",2,3
"NSFTV_106",NA,"E1",2,5
"NSFTV_106",NA,"E1",2,6
"NSFTV_106",NA,"E1",2,7
"NSFTV_106",NA,"E1",2,8
"NSFTV_106",NA,"E1",2,9
"NSFTV_106",96660,"E2",1,0
"NSFTV_106",129958,"E2",1,2
"NSFTV_106",153586,"E2",1,3
"NSFTV_106",209040,"E2",1,5
"NSFTV_106",246451,"E2",1,6
"NSFTV_106",284589,"E2",1,7
"NSFTV_106",321349,"E2",1,8
"NSFTV_106",365079,"E2",1,9
"NSFTV_106",NA,"E2",2,0
"NSFTV_106",NA,"E2",2,2
"NSFTV_106",NA,"E2",2,3
"NSFTV_106",NA,"E2",2,5
"NSFTV_106",NA,"E2",2,6
"NSFTV_106",NA,"E2",2,7
"NSFTV_106",NA,"E2",2,8
"NSFTV_106",NA,"E2",2,9
"NSFTV_106",50125,"E3",1,0
"NSFTV_106",72511,"E3",1,2
"NSFTV_106",89814,"E3",1,3
"NSFTV_106",127673,"E3",1,5
"NSFTV_106",145342,"E3",1,6
"NSFTV_106",162969,"E3",1,7
"NSFTV_106",190169,"E3",1,8
"NSFTV_106",213537,"E3",1,9
"NSFTV_106",44039,"E3",2,0
"NSFTV_106",66732,"E3",2,2
"NSFTV_106",83399,"E3",2,3
"NSFTV_106",104959,"E3",2,5
"NSFTV_106",116506,"E3",2,6
"NSFTV_106",143317,"E3",2,7
"NSFTV_106",161105,"E3",2,8
"NSFTV_106",185873,"E3",2,9
"NSFTV_107",27953,"E1",1,0
"NSFTV_107",39947,"E1",1,2
"NSFTV_107",48914,"E1",1,3
"NSFTV_107",67035,"E1",1,5
"NSFTV_107",75989,"E1",1,6
"NSFTV_107",93045,"E1",1,7
"NSFTV_107",117821,"E1",1,8
"NSFTV_107",137098,"E1",1,9
"NSFTV_107",NA,"E1",2,0
"NSFTV_107",NA,"E1",2,2
"NSFTV_107",NA,"E1",2,3
"NSFTV_107",NA,"E1",2,5
"NSFTV_107",NA,"E1",2,6
"NSFTV_107",NA,"E1",2,7
"NSFTV_107",NA,"E1",2,8
"NSFTV_107",NA,"E1",2,9
"NSFTV_107",51134,"E2",1,0
"NSFTV_107",75965,"E2",1,2
"NSFTV_107",82068,"E2",1,3
"NSFTV_107",106586,"E2",1,5
"NSFTV_107",119119,"E2",1,6
"NSFTV_107",124341,"E2",1,7
"NSFTV_107",155842,"E2",1,8
"NSFTV_107",183047,"E2",1,9
"NSFTV_107",NA,"E2",2,0
"NSFTV_107",NA,"E2",2,2
"NSFTV_107",NA,"E2",2,3
"NSFTV_107",NA,"E2",2,5
"NSFTV_107",NA,"E2",2,6
"NSFTV_107",NA,"E2",2,7
"NSFTV_107",NA,"E2",2,8
"NSFTV_107",NA,"E2",2,9
"NSFTV_107",42085,"E3",1,0
"NSFTV_107",57075,"E3",1,2
"NSFTV_107",64474,"E3",1,3
"NSFTV_107",91893,"E3",1,5
"NSFTV_107",103765,"E3",1,6
"NSFTV_107",112981,"E3",1,7
"NSFTV_107",123239,"E3",1,8
"NSFTV_107",141415,"E3",1,9
"NSFTV_107",47929,"E3",2,0
"NSFTV_107",59180,"E3",2,2
"NSFTV_107",71467,"E3",2,3
"NSFTV_107",98660,"E3",2,5
"NSFTV_107",105592,"E3",2,6
"NSFTV_107",120878,"E3",2,7
"NSFTV_107",134360,"E3",2,8
"NSFTV_107",146684,"E3",2,9
"NSFTV_108",13612,"E1",1,0
"NSFTV_108",17878,"E1",1,2
"NSFTV_108",22061,"E1",1,3
"NSFTV_108",23885,"E1",1,5
"NSFTV_108",30965,"E1",1,6
"NSFTV_108",40929,"E1",1,7
"NSFTV_108",45069,"E1",1,8
"NSFTV_108",47840,"E1",1,9
"NSFTV_108",NA,"E1",2,0
"NSFTV_108",NA,"E1",2,2
"NSFTV_108",NA,"E1",2,3
"NSFTV_108",NA,"E1",2,5
"NSFTV_108",NA,"E1",2,6
"NSFTV_108",NA,"E1",2,7
"NSFTV_108",NA,"E1",2,8
"NSFTV_108",NA,"E1",2,9
"NSFTV_108",20870,"E2",1,0
"NSFTV_108",22485,"E2",1,2
"NSFTV_108",27362,"E2",1,3
"NSFTV_108",35800,"E2",1,5
"NSFTV_108",37965,"E2",1,6
"NSFTV_108",39758,"E2",1,7
"NSFTV_108",44639,"E2",1,8
"NSFTV_108",53957,"E2",1,9
"NSFTV_108",NA,"E2",2,0
"NSFTV_108",NA,"E2",2,2
"NSFTV_108",NA,"E2",2,3
"NSFTV_108",NA,"E2",2,5
"NSFTV_108",NA,"E2",2,6
"NSFTV_108",NA,"E2",2,7
"NSFTV_108",NA,"E2",2,8
"NSFTV_108",NA,"E2",2,9
"NSFTV_108",19742,"E3",1,0
"NSFTV_108",23155,"E3",1,2
"NSFTV_108",25561,"E3",1,3
"NSFTV_108",32222,"E3",1,5
"NSFTV_108",36086,"E3",1,6
"NSFTV_108",39835,"E3",1,7
"NSFTV_108",45482,"E3",1,8
"NSFTV_108",47508,"E3",1,9
"NSFTV_108",NA,"E3",2,0
"NSFTV_108",NA,"E3",2,2
"NSFTV_108",NA,"E3",2,3
"NSFTV_108",NA,"E3",2,5
"NSFTV_108",NA,"E3",2,6
"NSFTV_108",NA,"E3",2,7
"NSFTV_108",NA,"E3",2,8
"NSFTV_108",NA,"E3",2,9
"NSFTV_109",29956,"E1",1,0
"NSFTV_109",47540,"E1",1,2
"NSFTV_109",54076,"E1",1,3
"NSFTV_109",84517,"E1",1,5
