"NSFTV.ID","Rep","DayOfImaging","Exp","PSA"
"NSFTV_101","1","3","E1",34879
"NSFTV_101","1","5","E1",44184
"NSFTV_101","1","6","E1",50950
"NSFTV_101","1","7","E1",66416
"NSFTV_101","1","8","E1",86099
"NSFTV_101","1","9","E1",104574
"NSFTV_101","2","0","E1",NA
"NSFTV_101","2","2","E1",NA
"NSFTV_101","2","3","E1",NA
"NSFTV_101","2","5","E1",NA
"NSFTV_101","2","6","E1",NA
"NSFTV_101","2","7","E1",NA
"NSFTV_101","2","8","E1",NA
"NSFTV_101","2","9","E1",NA
"NSFTV_101","1","0","E2",18068
"NSFTV_101","1","2","E2",26361
"NSFTV_101","1","3","E2",29503
"NSFTV_101","1","5","E2",39927
"NSFTV_101","1","6","E2",47965
"NSFTV_101","1","7","E2",58573
"NSFTV_101","1","8","E2",65624
"NSFTV_101","1","9","E2",71425
"NSFTV_101","2","0","E2",NA
"NSFTV_101","2","2","E2",NA
"NSFTV_101","2","3","E2",NA
"NSFTV_101","2","5","E2",NA
"NSFTV_101","2","6","E2",NA
"NSFTV_101","2","7","E2",NA
"NSFTV_101","2","8","E2",NA
"NSFTV_101","2","9","E2",NA
"NSFTV_101","1","0","E3",18240
"NSFTV_101","1","2","E3",28883
"NSFTV_101","1","3","E3",31127
"NSFTV_101","1","5","E3",39726
"NSFTV_101","1","6","E3",46082
"NSFTV_101","1","7","E3",52046
"NSFTV_101","1","8","E3",60355
"NSFTV_101","1","9","E3",65894
"NSFTV_101","2","0","E3",NA
"NSFTV_101","2","2","E3",NA
"NSFTV_101","2","3","E3",NA
"NSFTV_101","2","5","E3",NA
"NSFTV_101","2","6","E3",NA
"NSFTV_101","2","7","E3",NA
"NSFTV_101","2","8","E3",NA
"NSFTV_101","2","9","E3",NA
"NSFTV_102","1","0","E1",27408
"NSFTV_102","1","2","E1",38385
"NSFTV_102","1","3","E1",46673
"NSFTV_102","1","5","E1",65313
"NSFTV_102","1","6","E1",82830
"NSFTV_102","1","7","E1",101636
"NSFTV_102","1","8","E1",129644
"NSFTV_102","1","9","E1",153733
"NSFTV_102","2","0","E1",NA
"NSFTV_102","2","2","E1",NA
"NSFTV_102","2","3","E1",NA
"NSFTV_102","2","5","E1",NA
"NSFTV_102","2","6","E1",NA
"NSFTV_102","2","7","E1",NA
"NSFTV_102","2","8","E1",NA
"NSFTV_102","2","9","E1",NA
"NSFTV_102","1","0","E2",41599
"NSFTV_102","1","2","E2",53049
"NSFTV_102","1","3","E2",61706
"NSFTV_102","1","5","E2",85830
"NSFTV_102","1","6","E2",102215
"NSFTV_102","1","7","E2",121038
"NSFTV_102","1","8","E2",136839
"NSFTV_102","1","9","E2",162948
"NSFTV_102","2","0","E2",NA
"NSFTV_102","2","2","E2",NA
"NSFTV_102","2","3","E2",NA
"NSFTV_102","2","5","E2",NA
"NSFTV_102","2","6","E2",NA
"NSFTV_102","2","7","E2",NA
"NSFTV_102","2","8","E2",NA
"NSFTV_102","2","9","E2",NA
"NSFTV_102","1","0","E3",39748
"NSFTV_102","1","2","E3",57355
"NSFTV_102","1","3","E3",69421
"NSFTV_102","1","5","E3",93162
"NSFTV_102","1","6","E3",105029
"NSFTV_102","1","7","E3",122488
"NSFTV_102","1","8","E3",142272
"NSFTV_102","1","9","E3",160369
"NSFTV_102","2","0","E3",NA
"NSFTV_102","2","2","E3",NA
"NSFTV_102","2","3","E3",NA
"NSFTV_102","2","5","E3",NA
"NSFTV_102","2","6","E3",NA
"NSFTV_102","2","7","E3",NA
"NSFTV_102","2","8","E3",NA
"NSFTV_102","2","9","E3",NA
"NSFTV_103","1","0","E1",18080
"NSFTV_103","1","2","E1",25690
"NSFTV_103","1","3","E1",29780
"NSFTV_103","1","5","E1",39541
"NSFTV_103","1","6","E1",46420
"NSFTV_103","1","7","E1",56883
"NSFTV_103","1","8","E1",64587
"NSFTV_103","1","9","E1",77915
"NSFTV_103","2","0","E1",NA
"NSFTV_103","2","2","E1",NA
"NSFTV_103","2","3","E1",NA
"NSFTV_103","2","5","E1",NA
"NSFTV_103","2","6","E1",NA
"NSFTV_103","2","7","E1",NA
"NSFTV_103","2","8","E1",NA
"NSFTV_103","2","9","E1",NA
"NSFTV_103","1","0","E2",25438
"NSFTV_103","1","2","E2",33543
"NSFTV_103","1","3","E2",39028
"NSFTV_103","1","5","E2",56859
"NSFTV_103","1","6","E2",61528
"NSFTV_103","1","7","E2",71777
"NSFTV_103","1","8","E2",79271
"NSFTV_103","1","9","E2",91959
"NSFTV_103","2","0","E2",NA
"NSFTV_103","2","2","E2",NA
"NSFTV_103","2","3","E2",NA
"NSFTV_103","2","5","E2",NA
"NSFTV_103","2","6","E2",NA
"NSFTV_103","2","7","E2",NA
"NSFTV_103","2","8","E2",NA
"NSFTV_103","2","9","E2",NA
"NSFTV_103","1","0","E3",13214
"NSFTV_103","1","2","E3",18085
"NSFTV_103","1","3","E3",19700
"NSFTV_103","1","5","E3",26968
"NSFTV_103","1","6","E3",28505
"NSFTV_103","1","7","E3",31540
"NSFTV_103","1","8","E3",35675
"NSFTV_103","1","9","E3",41407
"NSFTV_103","2","0","E3",NA
"NSFTV_103","2","2","E3",NA
"NSFTV_103","2","3","E3",NA
"NSFTV_103","2","5","E3",NA
"NSFTV_103","2","6","E3",NA
"NSFTV_103","2","7","E3",NA
"NSFTV_103","2","8","E3",NA
"NSFTV_103","2","9","E3",NA
"NSFTV_104","1","0","E1",14369
"NSFTV_104","1","2","E1",20825
"NSFTV_104","1","3","E1",26407
"NSFTV_104","1","5","E1",39726
"NSFTV_104","1","6","E1",43906
"NSFTV_104","1","7","E1",45284
"NSFTV_104","1","8","E1",56732
"NSFTV_104","1","9","E1",69731
"NSFTV_104","2","0","E1",NA
"NSFTV_104","2","2","E1",NA
"NSFTV_104","2","3","E1",NA
"NSFTV_104","2","5","E1",NA
"NSFTV_104","2","6","E1",NA
"NSFTV_104","2","7","E1",NA
"NSFTV_104","2","8","E1",NA
"NSFTV_104","2","9","E1",NA
"NSFTV_104","1","0","E2",28984
"NSFTV_104","1","2","E2",36988
"NSFTV_104","1","3","E2",43339
"NSFTV_104","1","5","E2",63437
"NSFTV_104","1","6","E2",70603
"NSFTV_104","1","7","E2",74575
"NSFTV_104","1","8","E2",87697
"NSFTV_104","1","9","E2",99629
"NSFTV_104","2","0","E2",NA
"NSFTV_104","2","2","E2",NA
"NSFTV_104","2","3","E2",NA
"NSFTV_104","2","5","E2",NA
"NSFTV_104","2","6","E2",NA
"NSFTV_104","2","7","E2",NA
"NSFTV_104","2","8","E2",NA
"NSFTV_104","2","9","E2",NA
"NSFTV_104","1","0","E3",17648
"NSFTV_104","1","2","E3",26050
"NSFTV_104","1","3","E3",28235
"NSFTV_104","1","5","E3",35096
"NSFTV_104","1","6","E3",38370
"NSFTV_104","1","7","E3",43575
"NSFTV_104","1","8","E3",51531
"NSFTV_104","1","9","E3",60051
"NSFTV_104","2","0","E3",12730
"NSFTV_104","2","2","E3",15492
"NSFTV_104","2","3","E3",20240
"NSFTV_104","2","5","E3",29860
"NSFTV_104","2","6","E3",31156
"NSFTV_104","2","7","E3",31623
"NSFTV_104","2","8","E3",34432
"NSFTV_104","2","9","E3",39703
"NSFTV_105","1","0","E1",25120
"NSFTV_105","1","2","E1",35408
"NSFTV_105","1","3","E1",41526
"NSFTV_105","1","5","E1",57314
"NSFTV_105","1","6","E1",67046
"NSFTV_105","1","7","E1",84055
"NSFTV_105","1","8","E1",107446
"NSFTV_105","1","9","E1",124429
"NSFTV_105","2","0","E1",NA
"NSFTV_105","2","2","E1",NA
"NSFTV_105","2","3","E1",NA
"NSFTV_105","2","5","E1",NA
"NSFTV_105","2","6","E1",NA
"NSFTV_105","2","7","E1",NA
"NSFTV_105","2","8","E1",NA
"NSFTV_105","2","9","E1",NA
"NSFTV_105","1","0","E2",37360
"NSFTV_105","1","2","E2",53793
"NSFTV_105","1","3","E2",67380
"NSFTV_105","1","5","E2",97415
"NSFTV_105","1","6","E2",112144
"NSFTV_105","1","7","E2",130485
"NSFTV_105","1","8","E2",146871
"NSFTV_105","1","9","E2",168784
"NSFTV_105","2","0","E2",NA
"NSFTV_105","2","2","E2",NA
"NSFTV_105","2","3","E2",NA
"NSFTV_105","2","5","E2",NA
"NSFTV_105","2","6","E2",NA
"NSFTV_105","2","7","E2",NA
"NSFTV_105","2","8","E2",NA
"NSFTV_105","2","9","E2",NA
"NSFTV_105","1","0","E3",24465
"NSFTV_105","1","2","E3",34507
"NSFTV_105","1","3","E3",40234
"NSFTV_105","1","5","E3",57877
"NSFTV_105","1","6","E3",61881
"NSFTV_105","1","7","E3",71585
"NSFTV_105","1","8","E3",80097
"NSFTV_105","1","9","E3",89588
"NSFTV_105","2","0","E3",54893
"NSFTV_105","2","2","E3",83757
"NSFTV_105","2","3","E3",99825
"NSFTV_105","2","5","E3",123503
"NSFTV_105","2","6","E3",143229
"NSFTV_105","2","7","E3",163056
"NSFTV_105","2","8","E3",179009
"NSFTV_105","2","9","E3",196673
"NSFTV_106","1","0","E1",58409
"NSFTV_106","1","2","E1",83609
"NSFTV_106","1","3","E1",103159
"NSFTV_106","1","5","E1",148349
"NSFTV_106","1","6","E1",180413
"NSFTV_106","1","7","E1",216868
"NSFTV_106","1","8","E1",258804
"NSFTV_106","1","9","E1",299350
"NSFTV_106","2","0","E1",NA
"NSFTV_106","2","2","E1",NA
"NSFTV_106","2","3","E1",NA
"NSFTV_106","2","5","E1",NA
"NSFTV_106","2","6","E1",NA
"NSFTV_106","2","7","E1",NA
"NSFTV_106","2","8","E1",NA
"NSFTV_106","2","9","E1",NA
"NSFTV_106","1","0","E2",96660
"NSFTV_106","1","2","E2",129958
"NSFTV_106","1","3","E2",153586
"NSFTV_106","1","5","E2",209040
"NSFTV_106","1","6","E2",246451
"NSFTV_106","1","7","E2",284589
"NSFTV_106","1","8","E2",321349
"NSFTV_106","1","9","E2",365079
"NSFTV_106","2","0","E2",NA
"NSFTV_106","2","2","E2",NA
"NSFTV_106","2","3","E2",NA
"NSFTV_106","2","5","E2",NA
"NSFTV_106","2","6","E2",NA
"NSFTV_106","2","7","E2",NA
"NSFTV_106","2","8","E2",NA
"NSFTV_106","2","9","E2",NA
"NSFTV_106","1","0","E3",50125
"NSFTV_106","1","2","E3",72511
"NSFTV_106","1","3","E3",89814
"NSFTV_106","1","5","E3",127673
"NSFTV_106","1","6","E3",145342
"NSFTV_106","1","7","E3",162969
"NSFTV_106","1","8","E3",190169
"NSFTV_106","1","9","E3",213537
"NSFTV_106","2","0","E3",44039
"NSFTV_106","2","2","E3",66732
"NSFTV_106","2","3","E3",83399
"NSFTV_106","2","5","E3",104959
"NSFTV_106","2","6","E3",116506
"NSFTV_106","2","7","E3",143317
"NSFTV_106","2","8","E3",161105
"NSFTV_106","2","9","E3",185873
"NSFTV_107","1","0","E1",27953
"NSFTV_107","1","2","E1",39947
"NSFTV_107","1","3","E1",48914
"NSFTV_107","1","5","E1",67035
"NSFTV_107","1","6","E1",75989
"NSFTV_107","1","7","E1",93045
"NSFTV_107","1","8","E1",117821
"NSFTV_107","1","9","E1",137098
"NSFTV_107","2","0","E1",NA
"NSFTV_107","2","2","E1",NA
"NSFTV_107","2","3","E1",NA
"NSFTV_107","2","5","E1",NA
"NSFTV_107","2","6","E1",NA
"NSFTV_107","2","7","E1",NA
"NSFTV_107","2","8","E1",NA
"NSFTV_107","2","9","E1",NA
"NSFTV_107","1","0","E2",51134
"NSFTV_107","1","2","E2",75965
"NSFTV_107","1","3","E2",82068
"NSFTV_107","1","5","E2",106586
"NSFTV_107","1","6","E2",119119
"NSFTV_107","1","7","E2",124341
"NSFTV_107","1","8","E2",155842
"NSFTV_107","1","9","E2",183047
"NSFTV_107","2","0","E2",NA
"NSFTV_107","2","2","E2",NA
"NSFTV_107","2","3","E2",NA
"NSFTV_107","2","5","E2",NA
"NSFTV_107","2","6","E2",NA
"NSFTV_107","2","7","E2",NA
"NSFTV_107","2","8","E2",NA
"NSFTV_107","2","9","E2",NA
"NSFTV_107","1","0","E3",42085
"NSFTV_107","1","2","E3",57075
"NSFTV_107","1","3","E3",64474
"NSFTV_107","1","5","E3",91893
"NSFTV_107","1","6","E3",103765
"NSFTV_107","1","7","E3",112981
"NSFTV_107","1","8","E3",123239
"NSFTV_107","1","9","E3",141415
"NSFTV_107","2","0","E3",47929
"NSFTV_107","2","2","E3",59180
"NSFTV_107","2","3","E3",71467
"NSFTV_107","2","5","E3",98660
"NSFTV_107","2","6","E3",105592
"NSFTV_107","2","7","E3",120878
"NSFTV_107","2","8","E3",134360
"NSFTV_107","2","9","E3",146684
"NSFTV_108","1","0","E1",13612
"NSFTV_108","1","2","E1",17878
"NSFTV_108","1","3","E1",22061
"NSFTV_108","1","5","E1",23885
"NSFTV_108","1","6","E1",30965
"NSFTV_108","1","7","E1",40929
"NSFTV_108","1","8","E1",45069
"NSFTV_108","1","9","E1",47840
"NSFTV_108","2","0","E1",NA
"NSFTV_108","2","2","E1",NA
"NSFTV_108","2","3","E1",NA
"NSFTV_108","2","5","E1",NA
"NSFTV_108","2","6","E1",NA
"NSFTV_108","2","7","E1",NA
"NSFTV_108","2","8","E1",NA
"NSFTV_108","2","9","E1",NA
"NSFTV_108","1","0","E2",20870
"NSFTV_108","1","2","E2",22485
"NSFTV_108","1","3","E2",27362
"NSFTV_108","1","5","E2",35800
"NSFTV_108","1","6","E2",37965
"NSFTV_108","1","7","E2",39758
"NSFTV_108","1","8","E2",44639
"NSFTV_108","1","9","E2",53957
"NSFTV_108","2","0","E2",NA
"NSFTV_108","2","2","E2",NA
"NSFTV_108","2","3","E2",NA
"NSFTV_108","2","5","E2",NA
