"NSFTV.ID","PSA_8_2013","PSA_9_2013","PSA_11_2013","PSA_12_2013","PSA_14_2013","PSA_15_2013","PSA_16_2013","PSA_17_2013","PSA_18_2013","PSA_19_2013","PSA_20_2013","PSA_21_2013","PSA_22_2013","PSA_23_2013","PSA_24_2013","PSA_25_2013","PSA_26_2013","PSA_27_2013"
"NSFTV_112",2817.339987,3579.069472,5560.483804,6306.512223,9633.758091,11973.36222,15720.97182,18656.00716,21262.25248,25607.6708,34977.75182,44633.30656,53692.01102,67634.85105,81184.04809,101834.0719,118278.9457,141995.8099
"NSFTV_113",3682.506654,4231.236139,7169.650471,8468.67889,11988.25809,15178.36222,18136.13848,21073.00716,25474.08582,32146.33747,39813.75182,47812.30656,60711.01102,73905.51772,83394.88142,100457.2386,114645.4457,133070.9766
"NSFTV_114",3972.256654,4688.152805,6945.317138,9081.92889,13112.25809,16050.11222,19599.72182,22855.67382,26842.16915,32381.00413,40885.25182,52341.80656,62302.17768,75502.35105,88752.71475,106417.9053,122089.1124,141143.6432
"NSFTV_115",2905.173321,3626.069472,6008.817138,7434.67889,10879.92476,13745.02888,15925.30515,18250.50716,22485.08582,28090.83747,35088.75182,42797.47323,53010.67768,64923.68439,73929.88142,86600.90526,100544.1124,117161.1432
"NSFTV_116",3166.256654,4076.902805,6100.400471,6837.17889,8829.758091,10095.69555,12371.30515,14484.34049,16834.41915,21469.9208,25727.58516,32241.38989,40958.26102,48768.18439,58310.38142,71126.82192,82617.86241,96466.3099
"NSFTV_117",4378.839987,5559.236139,7417.733804,9369.17889,14573.42476,17342.94555,22165.22182,26853.84049,31238.41915,38129.1708,48747.41849,59582.38989,69907.84435,85316.43439,101006.7148,120089.2386,140245.8624,167766.8099
"NSFTV_118",3523.089987,4416.736139,8331.317138,9743.67889,13851.92476,18634.02888,20949.30515,24856.84049,29638.00248,38400.00413,46743.16849,55063.13989,70139.42768,86770.76772,100677.4648,116683.2386,133091.9457,152887.6432
"NSFTV_119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_120",3580.923321,4624.736139,7442.483804,9093.92889,14583.42476,18550.77888,21582.97182,26404.67382,34051.75248,41066.6708,49414.50182,63227.72323,83219.34435,99499.01772,117995.7148,146963.5719,169814.5291,202010.3932
"NSFTV_121",3139.256654,4044.569472,6200.733804,8090.345556,11148.67476,13620.61222,17498.38848,20776.92382,23368.08582,29693.50413,38440.58516,46263.13989,57015.76102,71811.26772,83269.63142,100300.6553,117245.0291,136810.1432
"NSFTV_122",3531.673321,4500.319472,6487.233804,7925.095556,12712.17476,14065.27888,17506.47182,20447.09049,24695.08582,30142.00413,36230.75182,46156.97323,59003.76102,68460.93439,80662.88142,98391.73859,114134.2791,131408.9766
"NSFTV_123",3512.506654,4351.402805,6914.317138,8080.512223,13066.75809,16125.52888,19073.13848,22903.34049,28770.58582,34516.1708,42995.58516,52214.80656,65400.84435,75103.68439,88330.38142,106868.9053,125432.2791,145379.9766
"NSFTV_124",2392.923321,3314.652805,5091.567138,6609.345556,10657.92476,13587.27888,16856.47182,20151.84049,24255.25248,29599.50413,37838.66849,46658.97323,57464.51102,72297.26772,84849.63142,103487.7386,119105.4457,139592.5599
"NSFTV_125",5666.839987,6476.402805,10516.31714,12966.67889,19197.09142,24442.52888,28302.97182,32043.67382,40332.58582,51732.50413,62682.25182,77561.30656,98677.51102,118621.5177,136735.2148,161219.7386,188378.7791,217970.4766
"NSFTV_126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_128",2584.839987,3199.069472,5061.483804,6076.345556,9511.758091,11125.19555,12536.47182,16037.67382,19769.91915,23348.33747,29948.08516,38563.80656,48851.17768,55601.01772,65636.21475,82881.07192,97513.61241,112128.3099
"NSFTV_129",3589.339987,4145.402805,6786.317138,8064.345556,11770.59142,15310.52888,18042.97182,20876.17382,26261.41915,32421.83747,38634.58516,46534.63989,57711.51102,69151.01772,78712.88142,95883.73859,113911.6124,135219.4766
"NSFTV_13",4720.173321,5371.736139,8636.817138,10023.51222,15310.75809,17999.86222,21011.47182,24675.50716,30511.58582,34810.1708,42852.75182,51127.97323,61282.84435,73182.18439,88003.04809,106978.2386,122862.1124,142622.8099
"NSFTV_130",4005.506654,4791.402805,7906.483804,8575.17889,13901.75809,17607.69555,21168.97182,24501.17382,29354.91915,37586.33747,46647.25182,57478.80656,72593.84435,87014.01772,101132.2148,122783.7386,143964.4457,169569.4766
"NSFTV_131",3041.839987,3952.402805,6220.650471,7925.67889,12699.25809,15577.36222,19623.97182,23999.67382,28498.08582,34454.00413,43490.25182,52950.47323,67744.51102,83386.85105,99617.54809,119531.0719,140305.9457,165486.6432
"NSFTV_132",3273.006654,4164.569472,7103.650471,8789.012223,14608.59142,17707.36222,22437.80515,27859.34049,32765.58582,40707.1708,52384.41849,64659.13989,81703.51102,98978.35105,117769.0481,145727.4053,168465.1124,198516.6432
"NSFTV_133",2595.673321,3261.736139,4254.983804,4796.17889,6963.591425,7862.19555,8776.138484,9481.173824,11265.91915,13564.50413,16379.08516,19672.80656,24865.17768,30086.68439,35233.04809,42376.23859,49269.94575,59046.3099
"NSFTV_134",3924.173321,4864.152805,7517.733804,9250.345556,12680.09142,15393.86222,18464.80515,21032.50716,25425.25248,32011.6708,41005.33516,47755.88989,59444.67768,73656.18439,84769.46475,100195.6553,115454.6124,131505.3099
"NSFTV_135",2844.173321,3713.902805,6919.317138,8127.845556,12827.92476,15656.86222,18107.80515,20987.50716,27498.08582,33600.33747,41363.75182,53476.47323,70395.01102,84530.18439,98746.04809,120241.2386,145242.1124,166554.4766
"NSFTV_136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_139",2282.839987,2678.069472,4056.817138,4916.345556,7651.424758,8983.528883,10312.47182,11694.67382,14149.08582,17336.6708,21520.58516,26321.97323,34312.01102,42150.35105,48871.54809,61999.07192,73698.61241,86133.8099
"NSFTV_14",2882.006654,3627.152805,5094.233804,6337.512223,9740.758091,11236.11222,13946.72182,17363.17382,20898.08582,23877.25413,30113.58516,37542.63989,45563.17768,54792.68439,64523.96475,76128.23859,89575.19575,104805.3932
"NSFTV_140",3737.173321,4720.736139,7598.150471,8651.012223,13360.09142,16085.02888,20221.80515,23151.67382,27803.25248,33692.6708,42331.58516,49771.47323,62718.17768,76388.68439,90403.88142,108928.0719,122310.2791,143800.9766
"NSFTV_141",3929.173321,4976.236139,7895.817138,8936.845556,13980.25809,17080.19555,20090.97182,23349.50716,29817.41915,34910.00413,44632.91849,54221.63989,67302.01102,80635.68439,96675.04809,116032.2386,135722.2791,161605.6432
"NSFTV_142",3953.256654,4704.486139,7642.733804,9521.17889,14379.67476,17839.69555,21505.80515,25016.67382,29478.91915,35682.25413,44844.66849,53574.38989,65911.17768,76286.18439,89337.71475,107170.9053,122504.8624,139655.0599
"NSFTV_143",2654.589987,3385.236139,5149.900471,5932.17889,9820.091425,11814.52888,13112.47182,15888.34049,20296.75248,25214.9208,30756.00182,39098.13989,50386.76102,59511.18439,68660.63142,84421.65526,98027.44575,112153.2266
"NSFTV_144",2450.339987,3104.569472,4575.483804,5221.17889,7982.258091,9846.19555,11538.30515,13516.00716,16586.75248,19998.83747,25009.58516,31481.13989,43500.51102,51863.51772,59515.21475,71548.73859,85921.44575,100864.4766
"NSFTV_145",3591.506654,4530.569472,6967.650471,8792.17889,14392.42476,17946.19555,21474.30515,24926.34049,31711.58582,38325.00413,49228.91849,60791.80656,76201.67768,93543.18439,108200.7148,131405.7386,152318.1124,178091.1432
"NSFTV_146",3697.756654,4320.486139,6965.150471,9178.92889,15101.17476,19468.19555,24390.38848,28567.67382,34109.91915,43651.33747,56996.41849,68717.72323,87040.84435,107750.6844,126247.2148,152584.1553,177145.1957,208380.1432
"NSFTV_147",2525.756654,3130.069472,4707.483804,5685.762223,8642.924758,10829.94555,12679.80515,14134.92382,16649.08582,20716.00413,26257.50182,31324.97323,40510.92768,49230.43439,57636.54809,69133.07192,80452.44575,95657.39323
"NSFTV_148",4501.089987,5720.402805,8851.567138,10913.42889,17151.42476,19803.94555,24048.47182,27853.50716,34610.75248,43093.25413,54029.91849,65953.55656,81961.92768,96097.76772,114262.6314,135965.2386,154700.1957,182985.4766
"NSFTV_149",2606.006654,3649.569472,5649.650471,6723.012223,9941.424758,12113.69555,13662.13848,15334.50716,18786.91915,22884.6708,28738.91849,34487.47323,44340.67768,52076.01772,62704.54809,73070.23859,87033.94575,102691.4766
