"NSFTV.ID","Rep","DayOfImaging","Exp","PSA"
"NSFTV_1","1","7","E1",11181
"NSFTV_1","1","8","E1",13440
"NSFTV_1","1","9","E1",14440
"NSFTV_1","1","10","E1",14282
"NSFTV_1","1","11","E1",19731
"NSFTV_1","1","12","E1",25561
"NSFTV_1","1","13","E1",28584
"NSFTV_1","1","14","E1",39753
"NSFTV_1","1","15","E1",49354
"NSFTV_1","2","7","E1",NA
"NSFTV_1","2","8","E1",NA
"NSFTV_1","2","9","E1",NA
"NSFTV_1","2","10","E1",NA
"NSFTV_1","2","11","E1",NA
"NSFTV_1","2","12","E1",NA
"NSFTV_1","2","13","E1",NA
"NSFTV_1","2","14","E1",NA
"NSFTV_1","2","15","E1",NA
"NSFTV_1","1","7","E2",16213
"NSFTV_1","1","8","E2",20819
"NSFTV_1","1","9","E2",23765
"NSFTV_1","1","10","E2",25395
"NSFTV_1","1","11","E2",29482
"NSFTV_1","1","12","E2",39713
"NSFTV_1","1","13","E2",44576
"NSFTV_1","1","14","E2",53809
"NSFTV_1","1","15","E2",68124
"NSFTV_1","2","7","E2",NA
"NSFTV_1","2","8","E2",NA
"NSFTV_1","2","9","E2",NA
"NSFTV_1","2","10","E2",NA
"NSFTV_1","2","11","E2",NA
"NSFTV_1","2","12","E2",NA
"NSFTV_1","2","13","E2",NA
"NSFTV_1","2","14","E2",NA
"NSFTV_1","2","15","E2",NA
"NSFTV_1","1","7","E3",NA
"NSFTV_1","1","8","E3",NA
"NSFTV_1","1","9","E3",NA
"NSFTV_1","1","10","E3",NA
"NSFTV_1","1","11","E3",NA
"NSFTV_1","1","12","E3",NA
"NSFTV_1","1","13","E3",NA
"NSFTV_1","1","14","E3",NA
"NSFTV_1","1","15","E3",NA
"NSFTV_1","2","7","E3",NA
"NSFTV_1","2","8","E3",NA
"NSFTV_1","2","9","E3",NA
"NSFTV_1","2","10","E3",NA
"NSFTV_1","2","11","E3",NA
"NSFTV_1","2","12","E3",NA
"NSFTV_1","2","13","E3",NA
"NSFTV_1","2","14","E3",NA
"NSFTV_1","2","15","E3",NA
"NSFTV_10","1","7","E1",10816
"NSFTV_10","1","8","E1",11873
"NSFTV_10","1","9","E1",13538
"NSFTV_10","1","10","E1",14808
"NSFTV_10","1","11","E1",16994
"NSFTV_10","1","12","E1",20065
"NSFTV_10","1","13","E1",25796
"NSFTV_10","1","14","E1",30825
"NSFTV_10","1","15","E1",34382
"NSFTV_10","2","7","E1",NA
"NSFTV_10","2","8","E1",NA
"NSFTV_10","2","9","E1",NA
"NSFTV_10","2","10","E1",NA
"NSFTV_10","2","11","E1",NA
"NSFTV_10","2","12","E1",NA
"NSFTV_10","2","13","E1",NA
"NSFTV_10","2","14","E1",NA
"NSFTV_10","2","15","E1",NA
"NSFTV_10","1","7","E2",15576
"NSFTV_10","1","8","E2",17918
"NSFTV_10","1","9","E2",22411
"NSFTV_10","1","10","E2",28260
"NSFTV_10","1","11","E2",32976
"NSFTV_10","1","12","E2",41847
"NSFTV_10","1","13","E2",55629
"NSFTV_10","1","14","E2",67631
"NSFTV_10","1","15","E2",83508
"NSFTV_10","2","7","E2",NA
"NSFTV_10","2","8","E2",NA
"NSFTV_10","2","9","E2",NA
"NSFTV_10","2","10","E2",NA
"NSFTV_10","2","11","E2",NA
"NSFTV_10","2","12","E2",NA
"NSFTV_10","2","13","E2",NA
"NSFTV_10","2","14","E2",NA
"NSFTV_10","2","15","E2",NA
"NSFTV_10","1","7","E3",9017
"NSFTV_10","1","8","E3",11692
"NSFTV_10","1","9","E3",12922
"NSFTV_10","1","10","E3",14331
"NSFTV_10","1","11","E3",18033
"NSFTV_10","1","12","E3",21801
"NSFTV_10","1","13","E3",23311
"NSFTV_10","1","14","E3",25710
"NSFTV_10","1","15","E3",31003
"NSFTV_10","2","7","E3",9034
"NSFTV_10","2","8","E3",10616
"NSFTV_10","2","9","E3",11093
"NSFTV_10","2","10","E3",13675
"NSFTV_10","2","11","E3",17290
"NSFTV_10","2","12","E3",20510
"NSFTV_10","2","13","E3",21403
"NSFTV_10","2","14","E3",27759
"NSFTV_10","2","15","E3",34749
"NSFTV_101","1","7","E1",8382
"NSFTV_101","1","8","E1",9155
"NSFTV_101","1","9","E1",10455
"NSFTV_101","1","10","E1",11821
"NSFTV_101","1","11","E1",15140
"NSFTV_101","1","12","E1",18034
"NSFTV_101","1","13","E1",20343
"NSFTV_101","1","14","E1",26424
"NSFTV_101","1","15","E1",28763
"NSFTV_101","2","7","E1",NA
"NSFTV_101","2","8","E1",NA
"NSFTV_101","2","9","E1",NA
"NSFTV_101","2","10","E1",NA
"NSFTV_101","2","11","E1",NA
"NSFTV_101","2","12","E1",NA
"NSFTV_101","2","13","E1",NA
"NSFTV_101","2","14","E1",NA
"NSFTV_101","2","15","E1",NA
"NSFTV_101","1","7","E2",9265
"NSFTV_101","1","8","E2",11554
"NSFTV_101","1","9","E2",12934
"NSFTV_101","1","10","E2",15673
"NSFTV_101","1","11","E2",20415
"NSFTV_101","1","12","E2",27178
"NSFTV_101","1","13","E2",30869
"NSFTV_101","1","14","E2",37434
"NSFTV_101","1","15","E2",47583
"NSFTV_101","2","7","E2",NA
"NSFTV_101","2","8","E2",NA
"NSFTV_101","2","9","E2",NA
"NSFTV_101","2","10","E2",NA
"NSFTV_101","2","11","E2",NA
"NSFTV_101","2","12","E2",NA
"NSFTV_101","2","13","E2",NA
"NSFTV_101","2","14","E2",NA
"NSFTV_101","2","15","E2",NA
"NSFTV_101","1","7","E3",12418
"NSFTV_101","1","8","E3",13636
"NSFTV_101","1","9","E3",14820
"NSFTV_101","1","10","E3",18095
"NSFTV_101","1","11","E3",22523
"NSFTV_101","1","12","E3",27756
"NSFTV_101","1","13","E3",32129
"NSFTV_101","1","14","E3",39082
"NSFTV_101","1","15","E3",53709
"NSFTV_101","2","7","E3",NA
"NSFTV_101","2","8","E3",NA
"NSFTV_101","2","9","E3",NA
"NSFTV_101","2","10","E3",NA
"NSFTV_101","2","11","E3",NA
"NSFTV_101","2","12","E3",NA
"NSFTV_101","2","13","E3",NA
"NSFTV_101","2","14","E3",NA
"NSFTV_101","2","15","E3",NA
"NSFTV_102","1","7","E1",8489
"NSFTV_102","1","8","E1",10401
"NSFTV_102","1","9","E1",12961
"NSFTV_102","1","10","E1",14156
"NSFTV_102","1","11","E1",18224
"NSFTV_102","1","12","E1",23612
"NSFTV_102","1","13","E1",28870
"NSFTV_102","1","14","E1",38054
"NSFTV_102","1","15","E1",44327
"NSFTV_102","2","7","E1",NA
"NSFTV_102","2","8","E1",NA
"NSFTV_102","2","9","E1",NA
"NSFTV_102","2","10","E1",NA
"NSFTV_102","2","11","E1",NA
"NSFTV_102","2","12","E1",NA
"NSFTV_102","2","13","E1",NA
"NSFTV_102","2","14","E1",NA
"NSFTV_102","2","15","E1",NA
"NSFTV_102","1","7","E2",12185
"NSFTV_102","1","8","E2",16658
"NSFTV_102","1","9","E2",23415
"NSFTV_102","1","10","E2",28113
"NSFTV_102","1","11","E2",34088
"NSFTV_102","1","12","E2",45936
"NSFTV_102","1","13","E2",57129
"NSFTV_102","1","14","E2",70901
"NSFTV_102","1","15","E2",93634
"NSFTV_102","2","7","E2",NA
"NSFTV_102","2","8","E2",NA
"NSFTV_102","2","9","E2",NA
"NSFTV_102","2","10","E2",NA
"NSFTV_102","2","11","E2",NA
"NSFTV_102","2","12","E2",NA
"NSFTV_102","2","13","E2",NA
"NSFTV_102","2","14","E2",NA
"NSFTV_102","2","15","E2",NA
"NSFTV_102","1","7","E3",16748
"NSFTV_102","1","8","E3",19844
"NSFTV_102","1","9","E3",23387
"NSFTV_102","1","10","E3",29961
"NSFTV_102","1","11","E3",35739
"NSFTV_102","1","12","E3",46736
"NSFTV_102","1","13","E3",58376
"NSFTV_102","1","14","E3",69703
"NSFTV_102","1","15","E3",79238
"NSFTV_102","2","7","E3",NA
"NSFTV_102","2","8","E3",NA
"NSFTV_102","2","9","E3",NA
"NSFTV_102","2","10","E3",NA
"NSFTV_102","2","11","E3",NA
"NSFTV_102","2","12","E3",NA
"NSFTV_102","2","13","E3",NA
"NSFTV_102","2","14","E3",NA
"NSFTV_102","2","15","E3",NA
"NSFTV_103","1","7","E1",4584
"NSFTV_103","1","8","E1",5602
"NSFTV_103","1","9","E1",5785
"NSFTV_103","1","10","E1",6169
"NSFTV_103","1","11","E1",7576
"NSFTV_103","1","12","E1",10221
"NSFTV_103","1","13","E1",13296
