NSFTV.ID,PSA_8_2013,PSA_9_2013,PSA_11_2013,PSA_12_2013,PSA_14_2013,PSA_15_2013,PSA_16_2013,PSA_17_2013,PSA_18_2013,PSA_19_2013,PSA_20_2013,PSA_21_2013,PSA_22_2013,PSA_23_2013,PSA_24_2013,PSA_25_2013,PSA_26_2013,PSA_27_2013,PSA_19_2014,PSA_21_2014,PSA_22_2014,PSA_25_2014,PSA_26_2014,PSA_27_2014,PSA_28_2014,PSA_29_2014,PSA_30_2014,PSA_31_2014,PSA_32_2014,PSA_33_2014,PSA_34_2014,PSA_35_2014,PSA_36_2014,PSA_37_2014,PSA_38_2014,PSA_39_2014,PSA_40_2014,PSA_41_2014
NSFTV_108,2492.839987,2866.402805,4471.483804,4915.345556,6546.758091,8323.862217,9782.971817,10761.34049,12110.25248,14474.6708,18109.41849,21830.80656,25536.34435,29447.01772,34864.71475,43001.07192,49600.94575,55820.64323,20909.70394,25037.22836,28673.09646,35804.57928,41813.58528,49421.6276,55707.69484,63761.45567,72169.01161,81829.31397,90078.60673,100042.2025,111188.6877,122118.2601,136549.8642,155044.2869,172687.1618,186410.094,202731.6311,218495.6372
NSFTV_109,3336.006654,4278.236139,6673.317138,7999.67889,13403.42476,15506.52888,20059.63848,24270.50716,28810.41915,36056.00413,44945.75182,55495.80656,71719.17768,84278.18439,96034.54809,117171.5719,134333.9457,159599.4766,41723.20394,63484.89503,70577.92979,95118.41262,109181.5853,126336.7943,149513.5282,171390.6223,195508.5116,217546.2803,241158.7734,271299.3692,297646.5211,330244.0934,364002.3642,402024.9536,445522.8285,469387.594,501422.1311,541740.6372
NSFTV_11,4929.173321,6724.402805,10774.65047,12583.01222,19046.92476,23341.69555,28321.30515,32721.84049,39223.41915,48747.33747,61164.08516,75145.30656,93577.01102,112431.3511,131512.5481,156761.0719,177231.1124,204290.3099,59985.53728,83017.56169,94003.76313,118211.9126,127362.0853,154302.9609,175459.5282,202512.6223,237616.3449,282165.7803,300653.7734,333420.2025,371636.3544,417585.7601,452443.3642,505683.2869,536811.6618,565962.594,635235.2978,692900.4705
NSFTV_110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSFTV_111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSFTV_112,2817.339987,3579.069472,5560.483804,6306.512223,9633.758091,11973.36222,15720.97182,18656.00716,21262.25248,25607.6708,34977.75182,44633.30656,53692.01102,67634.85105,81184.04809,101834.0719,118278.9457,141995.8099,38421.87061,58738.39503,66818.59646,90998.57928,106582.0853,120539.4609,138194.5282,153245.789,178375.6783,207032.2803,228727.2734,256021.0359,285574.1877,322488.4268,363573.1975,415017.4536,449543.3285,492766.7606,532410.1311,563437.6372
NSFTV_113,3682.506654,4231.236139,7169.650471,8468.67889,11988.25809,15178.36222,18136.13848,21073.00716,25474.08582,32146.33747,39813.75182,47812.30656,60711.01102,73905.51772,83394.88142,100457.2386,114645.4457,133070.9766,42771.70394,60300.39503,70283.09646,90076.41262,101593.0853,114457.1276,130838.0282,149139.9557,164842.3449,183879.314,205165.9401,229331.2025,247518.5211,269548.7601,293288.1975,317874.1203,333445.3285,350849.4273,373287.4644,394714.1372
NSFTV_114,3972.256654,4688.152805,6945.317138,9081.92889,13112.25809,16050.11222,19599.72182,22855.67382,26842.16915,32381.00413,40885.25182,52341.80656,62302.17768,75502.35105,88752.71475,106417.9053,122089.1124,141143.6432,47840.53728,67864.89503,77087.76313,101290.246,118347.7519,136903.2943,157527.0282,183576.289,205824.8449,258163.5303,258276.6067,294121.2025,317669.8544,346499.5934,383228.6975,425342.7869,457647.4951,468340.7606,471005.4644,542845.4705
NSFTV_115,2905.173321,3626.069472,6008.817138,7434.67889,10879.92476,13745.02888,15925.30515,18250.50716,22485.08582,28090.83747,35088.75182,42797.47323,53010.67768,64923.68439,73929.88142,86600.90526,100544.1124,117161.1432,34051.03728,48586.72836,55077.09646,71731.24595,83788.58528,96820.79426,111727.0282,126816.789,147461.1783,184329.5303,187847.7734,211355.0359,235964.3544,262834.5934,292870.3642,329491.4536,360071.8285,392262.594,423104.4644,460313.1372
NSFTV_116,3166.256654,4076.902805,6100.400471,6837.17889,8829.758091,10095.69555,12371.30515,14484.34049,16834.41915,21469.9208,25727.58516,32241.38989,40958.26102,48768.18439,58310.38142,71126.82192,82617.86241,96466.3099,29229.79296,37237.07178,43919.69841,58412.84939,67818.08043,75336.97514,89045.88216,106192.6901,117895.8218,110857.814,146136.5686,165097.734,180579.0828,202077.306,218960.1053,240448.0469,263306.1558,287535.0726,312564.9844,334429.6181
NSFTV_117,4378.839987,5559.236139,7417.733804,9369.17889,14573.42476,17342.94555,22165.22182,26853.84049,31238.41915,38129.1708,48747.41849,59582.38989,69907.84435,85316.43439,101006.7148,120089.2386,140245.8624,167766.8099,58396.54296,78714.32178,94262.64469,122304.9744,140211.0804,161474.1001,183227.8822,205700.4401,233604.5718,276571.6473,293464.3186,319584.609,350602.3867,379192.306,412119.1053,448871.9219,475228.1558,510242.3226,546069.7344,546737.3366
NSFTV_118,3523.089987,4416.736139,8331.317138,9743.67889,13851.92476,18634.02888,20949.30515,24856.84049,29638.00248,38400.00413,46743.16849,55063.13989,70139.42768,86770.76772,100677.4648,116683.2386,133091.9457,152887.6432,39342.03728,56757.22836,68125.09646,85530.07928,97704.08528,113903.9609,130378.0282,147694.4557,166854.8449,187451.0303,203006.1067,225737.2025,244661.0211,281632.9268,311190.3642,350852.2869,379710.9951,418416.094,450238.4644,458480.2244
NSFTV_119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSFTV_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSFTV_120,3580.923321,4624.736139,7442.483804,9093.92889,14583.42476,18550.77888,21582.97182,26404.67382,34051.75248,41066.6708,49414.50182,63227.72323,83219.34435,99499.01772,117995.7148,146963.5719,169814.5291,202010.3932,58530.04296,78283.07178,97465.69841,128452.3494,140342.7054,167996.8501,192141.6322,225020.9401,253308.4468,290918.6473,327139.0686,359500.359,392587.2078,437624.181,476579.4803,538697.7969,579313.7808,599421.3226,649568.8594,687353.7431
NSFTV_121,3139.256654,4044.569472,6200.733804,8090.345556,11148.67476,13620.61222,17498.38848,20776.92382,23368.08582,29693.50413,38440.58516,46263.13989,57015.76102,71811.26772,83269.63142,100300.6553,117245.0291,136810.1432,37943.16796,50918.32178,57667.69841,75960.97439,87270.45543,98134.85014,112039.6322,127527.0651,145311.1968,163381.6473,181834.0686,201577.109,224933.8328,253250.056,281905.4803,313254.0469,335098.4058,365948.3226,389599.8594,416636.9931
NSFTV_122,3531.673321,4500.319472,6487.233804,7925.095556,12712.17476,14065.27888,17506.47182,20447.09049,24695.08582,30142.00413,36230.75182,46156.97323,59003.76102,68460.93439,80662.88142,98391.73859,114134.2791,131408.9766,38362.04296,52403.94678,59343.44841,75669.59939,87940.08043,102349.3501,120422.6322,135602.3151,156007.6968,182733.814,193167.8186,217642.734,241934.8328,266476.056,294507.9803,323651.7969,364289.7808,392085.4476,417833.9844,443587.2431
NSFTV_123,3512.506654,4351.402805,6914.317138,8080.512223,13066.75809,16125.52888,19073.13848,22903.34049,28770.58582,34516.1708,42995.58516,52214.80656,65400.84435,75103.68439,88330.38142,106868.9053,125432.2791,145379.9766,42470.03728,57702.89503,69069.09646,89198.41262,101558.5853,117933.6276,135419.0282,148459.1223,167160.1783,189087.6473,207574.9401,231541.8692,257922.5211,286411.4268,320590.0308,355248.1203,391150.1618,422632.2606,471144.9644,498173.9705
NSFTV_124,2392.923321,3314.652805,5091.567138,6609.345556,10657.92476,13587.27888,16856.47182,20151.84049,24255.25248,29599.50413,37838.66849,46658.97323,57464.51102,72297.26772,84849.63142,103487.7386,119105.4457,139592.5599,44639.22508,62797.75365,73661.52319,99396.63326,115113.3607,132519.9284,152353.651,175176.5978,200162.5011,226421.9779,248806.8621,277677.8655,303221.8315,337667.3014,370768.1568,406341.5421,443602.4491,481272.1975,515016.0544,547503.4686
NSFTV_125,5666.839987,6476.402805,10516.31714,12966.67889,19197.09142,24442.52888,28302.97182,32043.67382,40332.58582,51732.50413,62682.25182,77561.30656,98677.51102,118621.5177,136735.2148,161219.7386,188378.7791,217970.4766,73176.53728,103390.395,121313.0965,159452.746,185014.5853,213236.1276,240477.3615,269255.1223,287359.3449,331312.314,353165.4401,392090.0359,421528.3544,464530.4268,510802.5308,547151.2869,582024.8285,604624.4273,639481.2978,670913.4705
NSFTV_126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSFTV_128,2584.839987,3199.069472,5061.483804,6076.345556,9511.758091,11125.19555,12536.47182,16037.67382,19769.91915,23348.33747,29948.08516,38563.80656,48851.17768,55601.01772,65636.21475,82881.07192,97513.61241,112128.3099,35069.03728,47871.22836,55504.42979,72792.24595,82790.41862,97479.1276,116082.6948,131441.289,147699.1783,168767.314,196464.4919,222816.2025,248959.0211,279224.4268,315159.3642,354024.9536,388687.1618,432742.2606,425785.4644,455944.9744
NSFTV_129,3589.339987,4145.402805,6786.317138,8064.345556,11770.59142,15310.52888,18042.97182,20876.17382,26261.41915,32421.83747,38634.58516,46534.63989,57711.51102,69151.01772,78712.88142,95883.73859,113911.6124,135219.4766,49717.37061,65918.39503,77315.59646,101402.9126,115887.4186,134282.7943,154944.1948,174776.789,197563.6783,215604.4806,234353.2734,259485.0359,288193.0211,314033.4268,339281.0308,373729.1203,399130.8285,423136.094,440984.7978,462297.4705
NSFTV_13,4720.173321,5371.736139,8636.817138,10023.51222,15310.75809,17999.86222,21011.47182,24675.50716,30511.58582,34810.1708,42852.75182,51127.97323,61282.84435,73182.18439,88003.04809,106978.2386,122862.1124,142622.8099,54939.03728,72700.56169,84737.09646,109771.0793,128870.0853,147409.7943,168895.5282,191215.789,214244.0116,256890.0303,258674.4401,293640.7025,326332.0211,366989.4268,412447.3642,459392.9536,482714.9951,528232.094,533565.7978,562148.3039
NSFTV_130,4005.506654,4791.402805,7906.483804,8575.17889,13901.75809,17607.69555,21168.97182,24501.17382,29354.91915,37586.33747,46647.25182,57478.80656,72593.84435,87014.01772,101132.2148,122783.7386,143964.4457,169569.4766,45636.87061,60957.06169,72977.42979,94647.07928,109789.0853,125226.4609,145296.6948,167282.4557,188714.6783,219184.2803,227749.1067,256548.5359,284227.1877,310265.2601,338159.8642,371050.1203,406082.3285,435453.594,453449.2978,490254.3039
NSFTV_131,3041.839987,3952.402805,6220.650471,7925.67889,12699.25809,15577.36222,19623.97182,23999.67382,28498.08582,34454.00413,43490.25182,52950.47323,67744.51102,83386.85105,99617.54809,119531.0719,140305.9457,165486.6432,39063.20394,59328.06169,68964.92979,92699.57928,106362.4186,124071.6276,147391.8615,172073.789,198679.0116,234766.5303,257424.9401,290104.7025,322579.6877,365499.5934,413085.1975,461059.7869,516379.1618,565559.2606,598049.4644,643061.6372
NSFTV_132,3273.006654,4164.569472,7103.650471,8789.012223,14608.59142,17707.36222,22437.80515,27859.34049,32765.58582,40707.1708,52384.41849,64659.13989,81703.51102,98978.35105,117769.0481,145727.4053,168465.1124,198516.6432,50820.03728,72550.39503,85863.42979,117625.746,134871.5853,157684.9609,183523.0282,208926.289,236126.3449,278618.7803,297322.6067,335962.5359,376161.6877,420951.2601,456146.6975,510217.4536,551819.4951,593901.094,639695.1311,700523.3039
NSFTV_133,2595.673321,3261.736139,4254.983804,4796.17889,6963.591425,7862.19555,8776.138484,9481.173824,11265.91915,13564.50413,16379.08516,19672.80656,24865.17768,30086.68439,35233.04809,42376.23859,49269.94575,59046.3099,25793.70394,34251.39503,39753.76313,56910.91262,63964.75195,72510.46093,85688.02817,99741.62234,116873.0278,127603.9806,140718.2734,158825.8692,179356.8544,200883.2601,227278.5308,250733.7869,273029.9951,299017.4273,333541.2978,367644.1372
NSFTV_134,3924.173321,4864.152805,7517.733804,9250.345556,12680.09142,15393.86222,18464.80515,21032.50716,25425.25248,32011.6708,41005.33516,47755.88989,59444.67768,73656.18439,84769.46475,100195.6553,115454.6124,131505.3099,38870.04296,56016.57178,68213.44841,84312.86516,102226.5804,117466.7251,131748.1322,147247.9401,166200.4468,209350.6473,210611.5686,231937.1542,255605.0828,283639.056,316409.6053,354148.1719,385445.2808,421133.0726,446197.5184,491787.4931
NSFTV_135,2844.173321,3713.902805,6919.317138,8127.845556,12827.92476,15656.86222,18107.80515,20987.50716,27498.08582,33600.33747,41363.75182,53476.47323,70395.01102,84530.18439,98746.04809,120241.2386,145242.1124,166554.4766,40734.53728,56922.06169,65947.26313,87343.24595,100660.9186,117824.6276,136909.8615,151937.6223,173413.3449,197960.814,229157.9401,255061.0359,286840.0211,325293.2601,373340.8642,410623.1203,441629.6618,491171.4273,514677.2978,548027.6372
NSFTV_136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSFTV_137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSFTV_138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSFTV_139,2282.839987,2678.069472,4056.817138,4916.345556,7651.424758,8983.528883,10312.47182,11694.67382,14149.08582,17336.6708,21520.58516,26321.97323,34312.01102,42150.35105,48871.54809,61999.07192,73698.61241,86133.8099,31908.20394,40143.56169,44044.09646,58374.74595,68996.58528,77026.1276,91348.86151,101226.4557,115440.6783,116006.5303,146235.2734,161458.2025,180827.5211,200077.9268,224582.0308,251787.1203,274122.8285,297526.594,323409.9644,346262.4705
NSFTV_14,2882.006654,3627.152805,5094.233804,6337.512223,9740.758091,11236.11222,13946.72182,17363.17382,20898.08582,23877.25413,30113.58516,37542.63989,45563.17768,54792.68439,64523.96475,76128.23859,89575.19575,104805.3932,37330.16796,53031.57178,61755.82341,82353.84939,94987.70543,110848.6001,127214.1322,146045.6901,167124.3218,201358.314,206894.8186,233861.734,259427.0828,295343.931,331774.2303,365539.7969,397748.2808,439541.0726,475646.6094,503581.6181
NSFTV_140,3737.173321,4720.736139,7598.150471,8651.012223,13360.09142,16085.02888,20221.80515,23151.67382,27803.25248,33692.6708,42331.58516,49771.47323,62718.17768,76388.68439,90403.88142,108928.0719,122310.2791,143800.9766,49405.87061,69854.39503,80599.26313,107380.0793,122970.5853,142620.9609,157591.3615,182909.289,212808.5116,229807.0303,263189.1067,288916.3692,321389.8544,357704.2601,387609.5308,429501.7869,466570.1618,513128.9273,561197.9644,601845.1372
NSFTV_141,3929.173321,4976.236139,7895.817138,8936.845556,13980.25809,17080.19555,20090.97182,23349.50716,29817.41915,34910.00413,44632.91849,54221.63989,67302.01102,80635.68439,96675.04809,116032.2386,135722.2791,161605.6432,52709.70394,72165.06169,82810.09646,114178.4126,130167.5853,148430.4609,176643.5282,205958.9557,231437.0116,273938.2803,298287.2734,329560.8692,368251.3544,396207.0934,430047.3642,477895.9536,482905.8285,525534.7606,555248.6311,603715.4705
NSFTV_142,3953.256654,4704.486139,7642.733804,9521.17889,14379.67476,17839.69555,21505.80515,25016.67382,29478.91915,35682.25413,44844.66849,53574.38989,65911.17768,76286.18439,89337.71475,107170.9053,122504.8624,139655.0599,41366.41796,52597.82178,59398.44841,82807.72439,95694.33043,112086.1001,128677.3822,148061.6901,166874.0718,175243.314,210910.3186,230396.484,255090.3328,289942.306,318956.3553,356066.9219,388639.7808,424428.8226,450276.1094,495509.1181
NSFTV_143,2654.589987,3385.236139,5149.900471,5932.17889,9820.091425,11814.52888,13112.47182,15888.34049,20296.75248,25214.9208,30756.00182,39098.13989,50386.76102,59511.18439,68660.63142,84421.65526,98027.44575,112153.2266,34738.09378,48308.23465,59238.56778,79164.0052,87230.31477,99114.60429,119723.4263,137667.7041,152495.0868,173347.1332,197078.8896,223325.1331,245930.2739,275268.7979,308116.5805,344204.5218,378093.6304,418343.0118,450105.1045,472715.9456
NSFTV_144,2450.339987,3104.569472,4575.483804,5221.17889,7982.258091,9846.19555,11538.30515,13516.00716,16586.75248,19998.83747,25009.58516,31481.13989,43500.51102,51863.51772,59515.21475,71548.73859,85921.44575,100864.4766,26663.37061,38641.72836,44966.76313,61704.24595,72396.58528,81001.29426,92264.36151,103787.4557,120189.0116,136129.814,151799.1067,170354.3692,191195.0211,215700.5934,241208.8642,275353.1203,305498.6618,334529.4273,371382.6311,404998.6372
NSFTV_145,3591.506654,4530.569472,6967.650471,8792.17889,14392.42476,17946.19555,21474.30515,24926.34049,31711.58582,38325.00413,49228.91849,60791.80656,76201.67768,93543.18439,108200.7148,131405.7386,152318.1124,178091.1432,47598.87061,64299.22836,74091.42979,99505.07928,112101.0853,129895.4609,147236.6948,170183.1223,185313.5116,212325.4806,239494.7734,272276.3692,304686.6877,341341.5934,379896.3642,425020.1203,462131.6618,510316.594,554909.6311,534449.4744
NSFTV_146,3697.756654,4320.486139,6965.150471,9178.92889,15101.17476,19468.19555,24390.38848,28567.67382,34109.91915,43651.33747,56996.41849,68717.72323,87040.84435,107750.6844,126247.2148,152584.1553,177145.1957,208380.1432,45442.21878,63476.23465,72865.06778,96560.8802,109470.3148,133393.2293,156274.1763,181625.4541,214259.8368,251523.0505,273450.0146,307424.5081,339535.5239,362585.7979,388171.7055,417890.6468,427706.6304,464851.5118,508192.7295,547638.1999
NSFTV_147,2525.756654,3130.069472,4707.483804,5685.762223,8642.924758,10829.94555,12679.80515,14134.92382,16649.08582,20716.00413,26257.50182,31324.97323,40510.92768,49230.43439,57636.54809,69133.07192,80452.44575,95657.39323,34472.34378,47177.48465,53923.56778,70743.5052,81057.31477,92683.10429,109494.9263,124560.4541,139861.5868,159380.6332,176832.2646,202398.8831,223271.7739,246167.0479,270826.4555,295343.342,328169.5054,356428.1368,394633.9795,423967.4499
NSFTV_148,4501.089987,5720.402805,8851.567138,10913.42889,17151.42476,19803.94555,24048.47182,27853.50716,34610.75248,43093.25413,54029.91849,65953.55656,81961.92768,96097.76772,114262.6314,135965.2386,154700.1957,182985.4766,43449.71878,56865.48465,66004.31778,81449.04324,92570.06477,108071.2293,123539.3013,141753.0791,164315.9618,174383.2172,213583.5146,240319.6331,267156.1489,297285.6729,332534.9555,378452.1468,414742.0054,449774.6368,489358.7295,504556.1123
NSFTV_149,2606.006654,3649.569472,5649.650471,6723.012223,9941.424758,12113.69555,13662.13848,15334.50716,18786.91915,22884.6708,28738.91849,34487.47323,44340.67768,52076.01772,62704.54809,73070.23859,87033.94575,102691.4766,28916.03728,39266.72836,45387.92979,59157.74595,66584.75195,77961.79426,91683.36151,107232.289,123832.8449,138162.9806,156259.9401,171286.5359,192932.8544,219141.0934,249165.3642,273231.1203,305281.3285,336874.094,375761.9644,422943.9705
NSFTV_15,2495.173321,3395.569472,4473.817138,5475.17889,8034.424758,10192.69555,11519.97182,13429.67382,16231.08582,20225.50413,25111.75182,31981.97323,39680.17768,48081.18439,56832.38142,70000.40526,81648.61241,94815.14323,31821.70394,43106.06169,48986.59646,66376.24595,76776.41862,85417.6276,100215.3615,113229.4557,130483.8449,160159.0303,165432.6067,189806.5359,211084.8544,236954.7601,259582.3642,286986.9536,314702.3285,340903.4273,364950.4644,350397.4744
NSFTV_150,2628.589987,3237.819472,5157.650471,6268.012223,9383.674758,11271.02888,13551.13848,15178.50716,18062.25248,22489.1708,28010.33516,32595.38989,39840.76102,48012.51772,55912.54809,66373.73859,76058.36241,90195.3099,30322.71878,39083.10965,46714.56778,61792.6302,69257.43977,78864.47929,88838.05135,101631.3291,115621.7118,132851.2582,143839.5146,164129.5081,181074.3989,203487.0479,226492.9555,257176.5218,277605.3804,309360.0118,323138.7295,360820.3249
NSFTV_151,2227.673321,2680.402805,4541.150471,5217.345556,7691.591425,9189.028883,10946.97182,13141.84049,16430.58582,20137.1708,25725.58516,31795.47323,41373.01102,49068.35105,58839.38142,70405.23859,83401.44575,97415.47656,25683.53728,37451.72836,42967.26313,56678.24595,64759.75195,72513.79426,82389.45062,93631.12234,104917.5116,118550.9806,130318.9401,145354.5359,163189.0211,183624.4268,206471.5308,234197.9536,263126.9951,289223.094,317623.1311,346301.1372
NSFTV_152,2773.589987,3502.819472,5472.150471,6555.92889,10550.67476,12621.52888,15911.47182,19695.75716,22408.50248,26938.08747,34235.25182,42291.63989,52207.84435,64464.51772,75819.79809,91185.73859,107192.6124,127755.2266,41551.71878,58953.85965,68025.31778,91212.5052,102236.4398,118011.9793,137077.5513,159745.2041,179093.5868,199064.8839,224240.2646,251077.7581,277964.3989,310735.5479,351148.9555,392495.3968,439743.1304,476683.5118,523123.6045,569183.8249
NSFTV_153,2959.673321,3484.069472,5830.817138,7389.345556,11257.42476,14037.02888,16064.63848,18378.34049,22311.58582,28643.50413,35413.58516,41622.30656,51356.34435,61806.18439,70447.21475,85499.07192,99520.77908,115955.8099,35672.70394,52542.39503,61941.59646,84469.07928,99384.08528,116720.4609,132707.5282,152578.1223,170926.8449,184684.7803,210302.2919,239895.0359,266167.6877,292101.2601,326995.8642,365982.7869,398907.9951,438303.9273,482369.4644,510906.8039
