NSFTV.ID,PSA_8_2013,PSA_9_2013,PSA_11_2013,PSA_12_2013,PSA_14_2013,PSA_15_2013,PSA_16_2013,PSA_17_2013,PSA_18_2013,PSA_19_2013,PSA_20_2013,PSA_21_2013,PSA_22_2013,PSA_23_2013,PSA_24_2013,PSA_25_2013,PSA_26_2013,PSA_27_2013,PSA_19_2014,PSA_21_2014,PSA_22_2014,PSA_25_2014,PSA_26_2014,PSA_27_2014,PSA_28_2014,PSA_29_2014,PSA_30_2014,PSA_31_2014,PSA_32_2014,PSA_33_2014,PSA_34_2014,PSA_35_2014,PSA_36_2014,PSA_37_2014,PSA_38_2014,PSA_39_2014,PSA_40_2014,PSA_41_2014
NSFTV_1,4056.673321,4590.236139,7424.817138,9515.17889,12615.09142,15417.69555,18796.97182,22075.34049,24540.58582,29671.00413,37349.91849,43292.30656,52897.51102,67837.68439,78508.21475,93771.57192,107620.2791,124374.8099,41149.03728,58417.22836,64188.59646,82252.41262,93548.41862,109660.1276,123868.1948,138741.4557,153033.1783,191309.2803,188031.6067,204636.7025,220837.1877,242666.4268,269474.8642,295750.1203,324988.6618,350314.094,373303.6311,405597.6372
NSFTV_10,2284.673321,2916.569472,4984.150471,5617.512223,7644.508091,9749.612217,11307.80515,13172.50716,15856.16915,19046.75413,24320.58516,29756.63989,36698.76102,45578.76772,54062.63142,65435.73859,76946.27908,93090.14323,24221.04296,33760.69678,38401.07341,49699.47439,57747.20543,66124.22514,75249.13216,86282.19007,98825.82184,111001.9806,126513.6936,143555.484,161068.8328,179749.931,200081.2303,223464.5469,248383.9058,271175.9476,293278.3594,307174.6181
NSFTV_100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSFTV_101,2548.506654,3393.402805,4720.983804,5449.17889,8602.424758,11009.02888,13042.30515,14951.34049,18552.08582,23550.50413,28980.91849,35064.63989,44218.67768,54184.68439,64477.88142,78101.57192,91009.44575,106026.3099,22527.37061,33684.72836,38878.26313,52386.91262,61796.25195,73268.46093,86660.19484,100187.1223,113556.1783,133680.2803,146425.6067,165753.7025,188013.6877,215338.5934,238776.8642,272034.7869,302299.1618,331883.094,367855.2978,353075.2244
NSFTV_102,2862.173321,3750.402805,5189.650471,6790.845556,10619.92476,13640.36222,17075.97182,21305.84049,26002.25248,31697.00413,40821.25182,50907.47323,63915.51102,76013.35105,89928.71475,108816.9053,128188.6124,149187.6432,44607.53728,60646.39503,72442.42979,97073.24595,113493.5853,132680.6276,155672.1948,177341.789,198640.0116,225228.814,245910.2734,286058.8692,313994.5211,345234.2754,383170.8642,431202.6203,469932.1618,506169.094,551356.2978,564126.9744
NSFTV_103,2095.339987,2496.236139,3969.150471,4455.012223,6205.591425,7617.528883,8590.305151,10123.67382,12080.25248,15034.50413,19406.58516,23199.30656,28978.51102,36499.18439,44007.88142,51895.07192,61201.94575,70687.14323,24270.70394,34170.89503,39433.76313,54066.24595,61351.75195,70562.29426,72946.83935,93929.95567,107056.6783,121832.9806,132223.9401,148930.7025,165518.5211,186424.5934,207446.6975,235243.9536,264276.1618,294949.2606,324494.4644,352133.9705
NSFTV_104,2906.839987,3560.569472,5938.733804,7320.095556,9848.924758,12600.61222,15022.72182,16498.00716,20068.58582,25237.1708,32244.83516,37018.80656,45901.51102,55392.68439,64748.88142,78112.48859,91770.77908,106110.1432,23626.79296,32285.07178,38557.19841,52673.34939,60661.83043,67518.10014,79138.00716,91340.56507,103559.1968,112565.6473,130925.1936,148755.859,162860.5828,183875.056,203516.4803,228035.5469,250903.4058,274970.8226,300783.6094,327648.7431
NSFTV_105,3296.839987,4052.736139,6321.317138,8120.67889,12256.67476,15368.77888,19153.22182,22206.17382,25784.91915,31233.58747,39349.58516,49064.05656,61968.76102,73321.68439,87350.63142,109349.3219,126863.6124,149659.1432,41506.79296,61290.19678,71858.57341,96381.97439,110893.8304,130426.2251,148345.8822,168822.8151,187779.5718,230493.9806,234374.1936,266908.234,292649.2078,314640.4664,366015.3553,405437.0469,454436.4058,501591.1976,527290.3594,589976.8681
NSFTV_106,4010.923321,5423.736139,9029.733804,11384.67889,17511.00809,22813.36222,28401.80515,35000.25716,42891.25248,51880.25413,65981.83516,80456.72323,101817.261,123065.3511,146149.3814,174523.9886,203231.4457,235850.3099,69949.54296,96896.19678,117743.8234,157508.3494,179958.0804,210245.3501,236860.1322,265819.5651,291481.4468,341394.1473,363730.1936,406998.359,437822.4578,467555.931,486586.1872,559218.2969,570514.5308,600999.9476,644921.1094,652674.3681
NSFTV_107,3449.339987,4771.986139,7881.233804,9181.345556,13315.42476,17495.69555,20526.13848,22941.92382,27220.75248,34405.4208,43052.08516,50322.47323,62024.26102,75367.60105,89796.71475,106619.7386,122751.2791,142154.6432,47429.91796,64467.94678,74307.82341,98075.09939,110145.3304,123657.8501,141807.0072,162638.6901,175771.8218,200001.814,225798.5686,249089.234,279611.4578,312696.806,339089.4803,372602.1719,401198.4058,430495.1976,448272.3594,470188.1181
