"NSFTV.ID","PSA_19_2014","PSA_21_2014","PSA_22_2014","PSA_25_2014","PSA_26_2014","PSA_27_2014","PSA_28_2014","PSA_29_2014","PSA_30_2014","PSA_31_2014","PSA_32_2014","PSA_33_2014","PSA_34_2014","PSA_35_2014","PSA_36_2014","PSA_37_2014","PSA_38_2014","PSA_39_2014","PSA_40_2014","PSA_41_2014"
"NSFTV_121",37943.16796,50918.32178,57667.69841,75960.97439,87270.45543,98134.85014,112039.6322,127527.0651,145311.1968,163381.6473,181834.0686,201577.109,224933.8328,253250.056,281905.4803,313254.0469,335098.4058,365948.3226,389599.8594,416636.9931
"NSFTV_122",38362.04296,52403.94678,59343.44841,75669.59939,87940.08043,102349.3501,120422.6322,135602.3151,156007.6968,182733.814,193167.8186,217642.734,241934.8328,266476.056,294507.9803,323651.7969,364289.7808,392085.4476,417833.9844,443587.2431
"NSFTV_123",42470.03728,57702.89503,69069.09646,89198.41262,101558.5853,117933.6276,135419.0282,148459.1223,167160.1783,189087.6473,207574.9401,231541.8692,257922.5211,286411.4268,320590.0308,355248.1203,391150.1618,422632.2606,471144.9644,498173.9705
"NSFTV_124",44639.22508,62797.75365,73661.52319,99396.63326,115113.3607,132519.9284,152353.651,175176.5978,200162.5011,226421.9779,248806.8621,277677.8655,303221.8315,337667.3014,370768.1568,406341.5421,443602.4491,481272.1975,515016.0544,547503.4686
"NSFTV_125",73176.53728,103390.395,121313.0965,159452.746,185014.5853,213236.1276,240477.3615,269255.1223,287359.3449,331312.314,353165.4401,392090.0359,421528.3544,464530.4268,510802.5308,547151.2869,582024.8285,604624.4273,639481.2978,670913.4705
"NSFTV_126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_128",35069.03728,47871.22836,55504.42979,72792.24595,82790.41862,97479.1276,116082.6948,131441.289,147699.1783,168767.314,196464.4919,222816.2025,248959.0211,279224.4268,315159.3642,354024.9536,388687.1618,432742.2606,425785.4644,455944.9744
"NSFTV_129",49717.37061,65918.39503,77315.59646,101402.9126,115887.4186,134282.7943,154944.1948,174776.789,197563.6783,215604.4806,234353.2734,259485.0359,288193.0211,314033.4268,339281.0308,373729.1203,399130.8285,423136.094,440984.7978,462297.4705
"NSFTV_13",54939.03728,72700.56169,84737.09646,109771.0793,128870.0853,147409.7943,168895.5282,191215.789,214244.0116,256890.0303,258674.4401,293640.7025,326332.0211,366989.4268,412447.3642,459392.9536,482714.9951,528232.094,533565.7978,562148.3039
"NSFTV_130",45636.87061,60957.06169,72977.42979,94647.07928,109789.0853,125226.4609,145296.6948,167282.4557,188714.6783,219184.2803,227749.1067,256548.5359,284227.1877,310265.2601,338159.8642,371050.1203,406082.3285,435453.594,453449.2978,490254.3039
