"NSFTV.ID","PSA","Treatment","Exp","Rep","DayOfImaging"
"NSFTV_364",2188,"Control","E1","1","0"
"NSFTV_365",2398,"Control","E1","1","0"
"NSFTV_366",1805,"Control","E1","1","0"
"NSFTV_368",2859,"Control","E1","1","0"
"NSFTV_369",3437,"Control","E1","1","0"
"NSFTV_37",1618,"Control","E1","1","0"
"NSFTV_370",3770,"Control","E1","1","0"
"NSFTV_371",3248,"Control","E1","1","0"
"NSFTV_372",3009,"Control","E1","1","0"
"NSFTV_373",3390,"Control","E1","1","0"
"NSFTV_375",3274,"Control","E1","1","0"
"NSFTV_376",2895,"Control","E1","1","0"
"NSFTV_377",2993,"Control","E1","1","0"
"NSFTV_378",3778,"Control","E1","1","0"
"NSFTV_379",2054,"Control","E1","1","0"
"NSFTV_380",3510,"Control","E1","1","0"
"NSFTV_381",3255,"Control","E1","1","0"
"NSFTV_384",3169,"Control","E1","1","0"
"NSFTV_385",2961,"Control","E1","1","0"
"NSFTV_386",2149,"Control","E1","1","0"
"NSFTV_387",3074,"Control","E1","1","0"
"NSFTV_388",1742,"Control","E1","1","0"
"NSFTV_389",2407,"Control","E1","1","0"
"NSFTV_39",4211,"Control","E1","1","0"
"NSFTV_390",3202,"Control","E1","1","0"
"NSFTV_391",685,"Control","E1","1","0"
"NSFTV_392",2028,"Control","E1","1","0"
"NSFTV_394",3428,"Control","E1","1","0"
"NSFTV_395",3030,"Control","E1","1","0"
"NSFTV_396",2658,"Control","E1","1","0"
"NSFTV_397",1154,"Control","E1","1","0"
"NSFTV_4",3929,"Control","E1","1","0"
"NSFTV_40",3673,"Control","E1","1","0"
"NSFTV_41",2865,"Control","E1","1","0"
"NSFTV_43",1746,"Control","E1","1","0"
"NSFTV_44",2888,"Control","E1","1","0"
"NSFTV_45",2628,"Control","E1","1","0"
"NSFTV_46",1834,"Control","E1","1","0"
"NSFTV_49",3480,"Control","E1","1","0"
"NSFTV_5",2605,"Control","E1","1","0"
"NSFTV_50",2759,"Control","E1","1","0"
"NSFTV_51",2547,"Control","E1","1","0"
"NSFTV_52",2722,"Control","E1","1","0"
"NSFTV_53",2685,"Control","E1","1","0"
"NSFTV_54",2151,"Control","E1","1","0"
"NSFTV_55",1639,"Control","E1","1","0"
"NSFTV_56",1824,"Control","E1","1","0"
"NSFTV_57",2647,"Control","E1","1","0"
"NSFTV_58",2828,"Control","E1","1","0"
"NSFTV_59",2996,"Control","E1","1","0"
"NSFTV_6",3315,"Control","E1","1","0"
"NSFTV_60",2027,"Control","E1","1","0"
"NSFTV_61",2944,"Control","E1","1","0"
"NSFTV_616",1949,"Control","E1","1","0"
"NSFTV_618",2054,"Control","E1","1","0"
"NSFTV_619",1907,"Control","E1","1","0"
"NSFTV_62",2981,"Control","E1","1","0"
"NSFTV_620",3204,"Control","E1","1","0"
"NSFTV_621",2547,"Control","E1","1","0"
"NSFTV_622",2156,"Control","E1","1","0"
"NSFTV_623",2013,"Control","E1","1","0"
"NSFTV_624",1853,"Control","E1","1","0"
"NSFTV_625",1718,"Control","E1","1","0"
"NSFTV_626",2769,"Control","E1","1","0"
"NSFTV_627",2838,"Control","E1","1","0"
"NSFTV_629",1917,"Control","E1","1","0"
"NSFTV_63",2520,"Control","E1","1","0"
"NSFTV_633",1770,"Control","E1","1","0"
"NSFTV_634",2053,"Control","E1","1","0"
"NSFTV_64",2618,"Control","E1","1","0"
"NSFTV_641",1391,"Control","E1","1","0"
"NSFTV_642",3183,"Control","E1","1","0"
"NSFTV_643",3106,"Control","E1","1","0"
"NSFTV_647",1931,"Control","E1","1","0"
"NSFTV_65",2778,"Control","E1","1","0"
"NSFTV_651",2608,"Control","E1","1","0"
"NSFTV_66",1667,"Control","E1","1","0"
"NSFTV_67",1896,"Control","E1","1","0"
"NSFTV_68",1428,"Control","E1","1","0"
"NSFTV_7",1052,"Control","E1","1","0"
"NSFTV_70",1918,"Control","E1","1","0"
"NSFTV_71",1790,"Control","E1","1","0"
"NSFTV_72",2456,"Control","E1","1","0"
"NSFTV_73",2983,"Control","E1","1","0"
"NSFTV_74",3562,"Control","E1","1","0"
"NSFTV_75",2285,"Control","E1","1","0"
"NSFTV_76",3905,"Control","E1","1","0"
"NSFTV_77",3322,"Control","E1","1","0"
